train_number,station_sequence,station_code,station_name,scheduled_arrival,scheduled_departure,distance_km,day
01211,13,NGN,Nandgaon,14:53,14:56,463.5,1
01211,14,MMR,Manmad Jn,15:29,15:32,494.2,1
01211,15,LS,Lasalgaon,16:06,16:09,525.6,1
01211,16,NR,Niphad,16:32,16:35,546.9,1
01211,17,NK,Nasik Road,17:16,--:--,585.0,1
01212,1,NK,Nasik Road,--:--,06:00,0.0,1
01212,2,NR,Niphad,06:41,06:44,38.2,1
01212,3,LS,Lasalgaon,07:07,07:10,59.5,1
01212,4,MMR,Manmad Jn,07:44,07:47,90.9,1
01212,5,NGN,Nandgaon,08:20,08:23,121.5,1
01212,6,CSN,Chalisgaon Jn,09:18,09:21,172.0,1
01212,7,PC,Pachora Jn,10:20,10:23,226.9,1
01212,8,JL,Jalgaon Jn,11:25,11:28,284.3,1
01212,9,BSL,Bhusaval Jn,12:01,12:04,314.6,1
01212,10,BDWD,Bodwad,12:43,12:46,351.1,1
01212,11,MKU,Malkapur,13:13,13:16,375.9,1
01212,12,NN,Nandura,13:54,13:57,411.0,1
01212,13,SEG,Shegaon,14:30,14:33,442.0,1
01212,14,AK,Akola Jn,15:20,15:23,485.4,1
01212,15,BGN,Borgaon,15:48,15:51,508.6,1
01212,16,MZR,Murtajapur,16:16,16:19,532.0,1
01212,17,BD,Badnera Jn,17:16,--:--,585.0,1
01435,1,SUR,Solapur Jn,--:--,06:00,0.0,1
01435,2,AKOR,Akalkot Road,06:49,06:52,45.0,1
01435,3,GUR,Ganagapur Road,08:01,08:04,108.5,1
01435,4,KLBG,Kalaburagi Jn,08:34,08:37,136.5,1
01435,5,HMBD,Humnabad,09:07,09:10,164.5,1
01435,6,BIDR,Bidar,11:52,11:55,313.8,1
01435,7,BHLK,Bhalki,12:42,12:45,357.0,1
01435,8,UDGR,Udgir,13:41,13:44,408.5,1
01435,9,LTRR,Latur Road,14:26,14:29,447.8,1
01435,10,LUR,Latur,15:13,15:16,488.4,1
01435,11,UMD,Usmanabad,16:39,16:42,564.9,1
01435,12,BTW,Barsi Town,17:26,17:29,606.1,1
01435,13,KWV,Kurduvadi,18:19,18:22,652.0,1
01435,14,DD,Daund Jn,20:38,20:41,777.1,1
01435,15,PUNE,Pune Jn,22:25,22:28,872.8,1
01435,16,PNVL,Panvel,00:39,00:42,993.5,1
01435,17,TNA,Thane,01:19,01:22,1027.5,1
01435,18,LTT,Lokmanya Tilak Term,01:43,01:46,1047.4,1
01435,19,SUR,Solapur Jn,09:59,10:02,1499.6,2
01435,20,AKOR,Akalkot Road,10:51,10:54,1544.6,2
01435,21,GUR,Ganagapur Road,12:03,12:06,1608.0,2
01435,22,KLBG,Kalaburagi Jn,12:36,12:39,1636.0,2
01435,23,HMBD,Humnabad,13:09,13:12,1664.0,2
01435,24,BIDR,Bidar,15:54,15:57,1813.4,2
01435,25,BHLK,Bhalki,16:44,16:47,1856.6,2
01435,26,UDGR,Udgir,17:43,17:46,1908.0,2
01435,27,LTRR,Latur Road,18:28,18:31,1947.4,2
01435,28,LUR,Latur,19:15,19:18,1988.0,2
01435,29,UMD,Usmanabad,20:41,20:44,2064.5,2
01435,30,BTW,Barsi Town,21:28,21:31,2105.7,2
01435,31,KWV,Kurduvadi,22:21,22:24,2151.6,2
01435,32,DD,Daund Jn,00:40,00:43,2276.7,2
01435,33,PUNE,Pune Jn,02:27,02:30,2372.4,2
01435,34,PNVL,Panvel,04:41,04:44,2493.1,3
01435,35,TNA,Thane,05:21,05:24,2527.1,3
01435,36,LTT,Lokmanya Tilak Term,05:45,--:--,2547.0,3
01436,1,LTT,Lokmanya Tilak Term,--:--,06:00,0.0,1
01436,2,TNA,Thane,06:21,06:24,19.9,1
01436,3,PNVL,Panvel,07:01,07:04,53.9,1
01436,4,PUNE,Pune Jn,09:15,09:18,174.6,1
01436,5,DD,Daund Jn,11:02,11:05,270.3,1
01436,6,KWV,Kurduvadi,13:21,13:24,395.4,1
01436,7,BTW,Barsi Town,14:14,14:17,441.3,1
01436,8,UMD,Usmanabad,15:01,15:04,482.5,1
01436,9,LUR,Latur,16:27,16:30,559.0,1
01436,10,LTRR,Latur Road,17:14,17:17,599.6,1
01436,11,UDGR,Udgir,17:59,18:02,639.0,1
01436,12,BHLK,Bhalki,18:58,19:01,690.4,1
01436,13,BIDR,Bidar,19:48,19:51,733.6,1
01436,14,HMBD,Humnabad,20:21,20:24,761.6,1
01436,15,KLBG,Kalaburagi Jn,20:54,20:57,789.6,1
01436,16,GUR,Ganagapur Road,23:39,23:42,939.0,1
01436,17,AKOR,Akalkot Road,00:51,00:54,1002.4,1
01436,18,SUR,Solapur Jn,01:43,01:46,1047.4,1
01436,19,LTT,Lokmanya Tilak Term,09:59,10:02,1499.6,2
01436,20,TNA,Thane,10:23,10:26,1519.5,2
01436,21,PNVL,Panvel,11:03,11:06,1553.5,2
01436,22,PUNE,Pune Jn,13:17,13:20,1674.2,2
01436,23,DD,Daund Jn,15:04,15:07,1769.9,2
01436,24,KWV,Kurduvadi,17:23,17:26,1895.0,2
01436,25,BTW,Barsi Town,18:16,18:19,1940.9,2
01436,26,UMD,Usmanabad,19:03,19:06,1982.1,2
01436,27,LUR,Latur,20:29,20:32,2058.6,2
01436,28,LTRR,Latur Road,21:16,21:19,2099.2,2
01436,29,UDGR,Udgir,22:01,22:04,2138.5,2
01436,30,BHLK,Bhalki,23:00,23:03,2190.0,2
01436,31,BIDR,Bidar,23:50,23:53,2233.2,2
01436,32,HMBD,Humnabad,00:23,00:26,2261.2,2
01436,33,KLBG,Kalaburagi Jn,00:56,00:59,2289.2,2
01436,34,GUR,Ganagapur Road,03:41,03:44,2438.5,3
01436,35,AKOR,Akalkot Road,04:53,04:56,2502.0,3
01436,36,SUR,Solapur Jn,05:45,--:--,2547.0,3
01437,1,SUR,Solapur Jn,--:--,06:00,0.0,1
01437,2,KWV,Kurduvadi,07:36,07:39,88.6,1
01437,3,BTW,Barsi Town,08:29,08:32,134.6,1
01437,4,UMD,Usmanabad,09:16,09:19,175.7,1
01437,5,LUR,Latur,10:42,10:45,252.3,1
01437,6,LTRR,Latur Road,11:29,11:32,292.8,1
01437,7,UDGR,Udgir,12:14,12:17,332.2,1
01437,8,BHLK,Bhalki,13:13,13:16,383.6,1
01437,9,BIDR,Bidar,14:03,14:06,426.8,1
01437,10,HMBD,Humnabad,14:36,14:39,454.8,1
01437,11,KLBG,Kalaburagi Jn,15:09,15:12,482.8,1
01437,12,WADI,Wadi,17:45,17:48,624.0,1
01437,13,YG,Yadgir,18:40,18:43,672.0,1
01437,14,RC,Raichur,20:14,20:17,755.5,1
01437,15,MALM,Manthralayam Rd,20:55,20:58,790.6,1
01437,16,AD,Adoni,21:49,21:52,838.0,1
01437,17,GTL,Guntakal Jn,23:01,23:04,902.1,1
01437,18,GY,Gooty Jn,23:43,23:46,937.9,1
01437,19,TU,Tadipatri,00:50,00:53,997.4,1
01437,20,YA,Yerraguntla,02:25,02:28,1082.6,1
01437,21,HX,Cuddapah,03:21,03:24,1131.5,1
01437,22,RJP,Razampeta,04:27,04:30,1190.1,1
01437,23,RU,Renigunta Jn,06:10,06:13,1282.1,2
01437,24,TPTY,Tirupati Main,06:26,--:--,1294.3,2
01438,1,TPTY,Tirupati Main,--:--,06:00,0.0,1
01438,2,RU,Renigunta Jn,06:13,06:16,12.1,1
01438,3,RJP,Razampeta,07:56,07:59,104.2,1
01438,4,HX,Cuddapah,09:02,09:05,162.8,1
01438,5,YA,Yerraguntla,09:58,10:01,211.7,1
01438,6,TU,Tadipatri,11:33,11:36,296.9,1
01438,7,GY,Gooty Jn,12:40,12:43,356.4,1
01438,8,GTL,Guntakal Jn,13:22,13:25,392.2,1
01438,9,AD,Adoni,14:34,14:37,456.3,1
01438,10,MALM,Manthralayam Rd,15:28,15:31,503.7,1
01438,11,RC,Raichur,16:09,16:12,538.7,1
01438,12,YG,Yadgir,17:43,17:46,622.3,1
01438,13,WADI,Wadi,18:38,18:41,670.3,1
01438,14,KLBG,Kalaburagi Jn,19:11,19:14,698.3,1
01438,15,HMBD,Humnabad,19:44,19:47,726.3,1
01438,16,BIDR,Bidar,22:20,22:23,867.4,1
01438,17,BHLK,Bhalki,23:10,23:13,910.6,1
01438,18,UDGR,Udgir,00:09,00:12,962.1,1
01438,19,LTRR,Latur Road,00:54,00:57,1001.4,1
01438,20,LUR,Latur,01:41,01:44,1042.0,1
01438,21,UMD,Usmanabad,03:07,03:10,1118.5,1
01438,22,BTW,Barsi Town,03:54,03:57,1159.7,1
01438,23,KWV,Kurduvadi,04:47,04:50,1205.7,2
01438,24,SUR,Solapur Jn,06:26,--:--,1294.3,2
01461,1,SUR,Solapur Jn,--:--,06:00,0.0,1
01461,2,MO,Mohol,06:38,06:41,35.6,1
01461,3,MA,Madha,07:20,07:23,72.1,1
01461,4,KWV,Kurduvadi,07:44,07:47,91.7,1
01461,5,KEM,Kem,08:11,08:14,114.5,1
01461,6,JEUR,Jeur,08:35,08:38,133.8,1
01461,7,PRWD,Parewadi,09:09,09:12,162.5,1
01461,8,BGVN,Bhigwan,09:38,09:41,186.7,1
01461,9,DD,Daund Jn,10:17,--:--,220.5,1
01462,1,DD,Daund Jn,--:--,06:00,0.0,1
01462,2,BGVN,Bhigwan,06:36,06:39,33.7,1
01462,3,PRWD,Parewadi,07:05,07:08,58.0,1
01462,4,JEUR,Jeur,07:39,07:42,86.7,1
01462,5,KEM,Kem,08:03,08:06,106.0,1
01462,6,KWV,Kurduvadi,08:30,08:33,128.8,1
01462,7,MA,Madha,08:54,08:57,148.4,1
01462,8,MO,Mohol,09:36,09:39,184.8,1
01462,9,SUR,Solapur Jn,10:17,--:--,220.5,1
01487,1,PUNE,Pune Jn,--:--,06:00,0.0,1
01487,2,HDP,Hadapsar,06:08,06:11,7.4,1
01487,3,URI,Uruli,06:42,06:45,36.0,1
01487,4,KDG,Kedgaon,07:20,07:23,68.4,1
01487,5,DD,Daund Jn,07:52,07:55,95.8,1
01487,6,PRWD,Parewadi,08:56,08:59,152.0,1
01487,7,JEUR,Jeur,09:30,09:33,180.7,1
01487,8,KEM,Kem,09:54,09:57,200.0,1
01487,9,KWV,Kurduvadi,10:21,10:24,222.8,1
